0.162;0,
0.328;0,
0.494;0,
0.66;0,
0.827;0,
0.993;0,
1.159;0.06,
1.325;0.75,
1.491;2.63,
1.657;3.87,
1.823;5.26,
1.989;6.66,
2.155;7.84,
2.321;8.71,
2.488;9.13,
2.654;9.04,
2.82;8.46,
2.986;7.48,
3.152;6.22,
3.318;4.85,
3.484;3.51,
3.65;2.34,
3.816;1.41,
3.982;0.76,
4.148;0.39,
4.315;0.24,
4.481;0.25,
4.647;0.37,
4.813;0.52,
4.979;0.65,
5.145;0.74,
5.311;0.78,
5.477;0.77,
5.643;0.71,
5.809;0.62,
5.976;0.53,4.508;916
6.142;0.44,5.093;808
6.308;0.36,6.093;191
6.474;0.3,
6.64;0.25,
6.806;0.23,
6.972;0.22,
7.138;0.21,
7.304;0.21,
7.47;0.21,
7.636;0.21,
7.803;0.2,
7.969;0.19,
8.135;0.17,
8.301;0.16,
8.467;0.14,
8.633;0.12,
8.799;0.1,
8.965;0.08,
9.131;0.07,
9.297;0.06,
9.463;0.05,
9.63;0.05,
9.795;0.05,
9.962;0.06,
10.129;0.06,
10.294;0.07,
10.459;0.07,
10.627;0.06,
10.792;0.06,
10.96;0.01,
